ts	phase	decision	why	evidence	result
2026-09-06T07:04:59+00:00	scope	Audit published main and the local cron commit separately	The checkout is one commit ahead of published main	d40a67ed; f2162fdf; c177af35	47 fork-only commits on main; 1 local; 5 upstream-only
2026-09-06T07:04:59+00:00	history	Inspect unique patches and substantive merge resolutions	A net diff misses fixed regressions and changes made during merges	61830ba8; 4b9e1c2f; 295c6760; 6f1b1b7b; 2ecda15c	Original md5 and ASI regressions fixed; August merge preserves fork changes
2026-09-06T07:04:59+00:00	integration	Rehearse upstream merge in a detached worktree	Identify actual conflicts without changing the working branch	evidence/merge.log	One conflict in MapComponent.tsx; kept selection and upstream filter-open class
2026-09-06T07:04:59+00:00	verification	Run existing suites, build, and standalone TypeScript check	Assess present verification coverage before proposing tests	evidence/jest.log; evidence/python.log; evidence/build.log; evidence/tsc.log	Build succeeds with warnings; 20 JS and 8 Python tests pass; 2 JS suites and tsc fail
2026-09-06T07:04:59+00:00	reproduction	Probe numeric parsing, KPI failure, timezone conversion, lasso, defaults, and popup markup	Separate observable code behavior from backend assumptions	evidence/probes.cjs; evidence/probes.log	Reproduced false zero KPI, shifted timestamp, truncated coordinates, lasso drag restoration, default overwrite, and HTML element creation
2026-09-06T07:04:59+00:00	upstream	Run the new upstream CSV suites in the merge rehearsal	Verify new upstream code with existing tests	evidence/upstream-tests.log	10 tests pass
2026-09-06T07:04:59+00:00	delivery	Publish an audit-only branch based on origin/main	The user requested an assessment and proposed PRs	audit/fork-code-quality-2026-09-06	No runtime fixes or production merge included
2026-09-06T07:08:16+00:00	verification	Check lockfile installation without lifecycle scripts and build the merge rehearsal	Confirm install compatibility and upstream integration while keeping the preinstall hook outside this check	evidence/install.log; evidence/merged-build.log	Isolated npm ci --ignore-scripts succeeds; merged build succeeds with existing warnings
2026-09-06T07:08:16+00:00	dependencies	Record advisory counts separately from application exploitability	Most reported packages belong to inherited build tooling	evidence/dependency-audit.json	64 advisory entries; runtime exposure not established
2026-09-06T07:10:37+00:00	review	Split tooling work from the upstream sync and add merge/provenance evidence	Different-model reviewer flagged PR breadth and incomplete log context	evidence/resolved-map.diff; evidence/check-context.json	PR 11 owns tooling; module probes distinguished from production checks
2026-09-06T07:10:37+00:00	trail	Treat checkpoint timestamps as recording times	Initial checkpoint rows were recorded together after the work; no complete transcript path was provided	decisions.tsv; evidence/check-context.json	Trail supports review but is not a chronological transcript
2026-09-06T07:12:50+00:00	review	Supplement the earlier integration row with the resolved map evidence	The earlier merge log proves a conflict but not its resolution; this row supersedes that evidence limitation	evidence/resolved-map.diff; evidence/merged-build.log	Rehearsal preserves SelectionTool as a sibling; portal relocation remains proposed PR 1 work
