ts	phase	decision	why	evidence	result
2026-09-11T21:15:00Z	frame	Review commits that landed on origin/main from 2026-08-28 through 2026-09-11, including merged branch payloads and upstream integration effects	The user asked for the past two weeks in the deployed fork, and origin/main is the Railway deployment source	git log origin/main --first-parent --since=2026-08-28	37 first-parent changes found; earliest fork change is 2026-09-03
2026-09-11T21:16:00Z	method	Judge edge cases by the sole-user Voi-monitor workflow instead of general multi-tenant product standards	The user explicitly values their monitoring workflow over unrelated edge cases	User request; AGENTS.md	Scope fixed
2026-09-11T21:25:00Z	validation	Validate the landed mainline without changing application code	The audit should distinguish compile/test health from semantic behavior	fresh npm ci; npm run typecheck; CI=true npm test -- --runInBand; npm run build; Python unit tests in temporary dependency environment	Clean install, scoped typecheck, 205 frontend tests and production build passed; 32 Python tests passed and 6 disposable-PostGIS tests were skipped
2026-09-11T21:26:00Z	production	Check current archive freshness, cadence, status semantics and a real broad-polygon query	The monitor is deployed and source review alone cannot show whether the scheduled collection actually works	public /index.json, /health, latest snapshot and /availability; Railway API and collector logs	Archive is fresh and status counts are credible; two ten-minute boundaries were missed during a database connection outage and are not backfilled; broad four-day availability query completed in under half a second
2026-09-11T21:27:00Z	finding	Treat freshness and missing-boundary visibility as the main confirmed monitoring regression	A monitoring graph must not turn an outage into an apparently continuous series	VoiVehicleHistory loads its index once; VoiAvailabilityChart joins existing rows with monotone lines; production is missing 15:00Z and 15:10Z on 2026-09-11	Confirmed workflow defect; recommend periodic/manual refresh, visible capture age, completeness indicator and explicit gaps
2026-09-11T21:28:00Z	finding	Treat inaccessible retained history and the 31-day API/UI ceiling as an intent mismatch	The fork keeps roughly nine months of costly monitoring data, but the normal viewer retrieves seven days and offers no dates	VoiVehicleHistory listVoiSnapshots call has no range; API defaults to seven days; availability limits and presets stop at 31 days	High-confidence design mismatch analogous to the reverted CSV caps; recommend date navigation and measured pagination rather than a blanket window ceiling
2026-09-11T21:29:00Z	finding	Flag the daily non-defect series as fragile rather than rejecting the feature	The feature matches the Voi workflow, but one request is made for every chart day and any one failure removes the entire series without a visible error	operationalVehicleStats Promise.all worker pool; BeschikbareVoertuigenChart catch path; browser-local moment conversion	Intent is sound; implementation needs partial-result/error behavior, Amsterdam timezone and preferably an aggregate endpoint
2026-09-11T21:30:00Z	finding	Classify the trip histogram's 31-day, 10 MB and 50000-row limits as likely overcautious for this fork	The surrounding period selector offers 90 days, 12 months and calendar years, and the limits were added without measured backend evidence	src/api/trips.js; prior audit explicitly said the practical contract was unknown	Likely regression for the owner's workflow; retain cancellation and error handling but replace arbitrary caps with pagination/aggregation or measured limits
2026-09-11T21:31:00Z	finding	Keep the September 8 repair batch as a net positive after focused re-audit	Request ownership, popup safety, CSV semantics, map gestures, public defaults and Voi cache behavior now match their intended fixes	current code, focused tests, previous audit evidence and 205-test full run	No rollback recommended; the CSV limit revert correctly retained the meaningful parser and state fixes
2026-09-11T21:32:00Z	finding	Report stale Voi operator documentation and CI coverage of the wrong delivery path	The primary guide still instructs GitHub-branch collection, and the check workflow runs for pull requests while this sole-owner fork commonly deploys direct main pushes	docs/VOI-VEHICLE-MONITOR.md; .railway/README.md; .github/workflows/check.yml; first-parent history	Confirmed maintainability and regression-prevention gaps; replace or redirect the guide and run checks on main pushes
2026-09-11T21:33:00Z	review-limit	Record that no agent transcript or T3 collaborative preview host is available	The decision-trail skill calls for transcript consistency checking and the browser rules require the T3 preview first	filesystem transcript search; preview_status; preview_open	Trail will be checked against repository evidence and this run's available outputs; HTML will be rendered with local Chromium instead
2026-09-11T21:37:00Z	browser	Render both the report and deployed Railway viewer at desktop and mobile sizes	The report must be readable and the live route needs a browser check	/tmp/fork-commit-audit-desktop.png; /tmp/fork-commit-audit-mobile.png; /tmp/voi-monitor-fork-desktop.png; /tmp/voi-monitor-fork-mobile.png	Report and live viewer rendered at 1440 by 1100 and 390 by 844 without a blocking layout failure
2026-09-11T21:38:00Z	review	Apply the independent gpt-5.5 report and trail review	The review found one ambiguous production timestamp and no higher-severity issue	gpt-5.5 final_audit_review; docs/FORK-COMMIT-AUDIT-2026-09-11.html	Clarified that the 992-vehicle frame was captured at 21:00 during the 21:10 health check; report is safe to hand off
2026-09-11T21:41:12Z	final-validation	Validate the finished report and decision trail before publication	The committed artifacts must match the audited mainline, render correctly and exclude credentials	HTML parser and ledger/mainline comparison; final Chromium render; credential, language and whitespace scans	All checks passed; 37 ledger rows match 37 first-parent landings and all local anchors resolve
