ts	phase	decision	why	evidence	result
2026-09-06T16:58:25+00:00	scope	Use separate branches based on d40a67ed for audit PRs 1, 2, and 7	Each can be reviewed and merged independently; retain local cron work	fix/audit-1-upstream-sync; fix/audit-2-availability; fix/audit-7-popup-dom	implementation in progress
2026-09-06T16:58:25+00:00	pr1	Retain all three upstream changes and move selection into the control portal	The new map control stack replaces fixed offsets	/home/exedev/dashboard-pr1/src/components/SelectionTool/SelectionTool.tsx; pr1-tests.log; pr1-build.log	23 focused tests and build pass
2026-09-06T16:58:25+00:00	pr2	Treat missing per-provider values as unknown and report complete-observation coverage	Published API docs show UTC but do not guarantee missing means zero	https://docs.dashboarddeelmobiliteit.nl/api_docs/zone_statistics/; /home/exedev/dashboard-pr2/src/helpers/stats/availability-kpi.ts	Conservative missing-data semantics; no authenticated API sample used
2026-09-06T16:58:25+00:00	pr2	Cancel old KPI work and clear stale results on selection/account changes	A failed refresh must not preserve a result under a new selection	pr2-tests.log; /home/exedev/dashboard-pr2/src/components/Chart/BeleidszonesAvailabilityKpi.tsx	12 targeted tests pass; production build caught ES5 iterator issue, changed to Array.from
2026-09-06T16:58:25+00:00	pr7	Use DOM nodes for live vehicle, zone, and hub selection popups	Imported provider text must never reach an HTML parser	/home/exedev/dashboard-pr7/src/components/Map/MapUtils/vehiclePopup.ts; /home/exedev/dashboard-pr7/src/components/Map/MapUtils/zonePopup.ts	Replaced live HTML builders; removed unreferenced legacy popup module
2026-09-06T17:05:20.888324+00:00	validation	Commit each repair after focused checks and production builds pass	Keep the three approved changes independently reviewable	77319aa2;31d7d404;7b191068;pr1-tests.log;pr2-tests.log;pr7-tests.log;pr1-build.log;pr2-build.log;pr7-build.log	23/12/10 targeted tests pass; three builds pass with inherited warnings
2026-09-06T17:05:20.888360+00:00	browser	Check selection-panel viewport bounds and control separation at desktop and mobile sizes	Upstream changes replace the fork fixed control placement	browser/layout.cjs;browser-layout.log;browser/mobile-controls.png;browser/desktop-controls.png	Pass at 1440x1000 and 390x844; no authenticated data or loaded map tiles; page reported i is not defined
2026-09-06T17:08:01.463552+00:00	pr7	Include the hub-layer integration in a second commit before publication	The first staging command omitted the MapLayer directory	8b21ddc2;src/components/MapLayer/DdPolicyHubsLayer.tsx;src/components/Map/MapUtils/hubPopup.ts	Supersedes the earlier PR7 tip reference; both commits belong to proposal 7
2026-09-06T17:08:01.463586+00:00	pr2	Describe and check UTC serialization in both zone stats API functions	Parking and rental chart callers share the timestamp correction	src/helpers/stats/availability-kpi.test.ts;pr2-tests.log;pr2-body.md	14 targeted tests pass, including both real request functions with mocked transport
2026-09-06T17:08:01.463593+00:00	review	Retain authenticated scope and chart comparison as rollout checks	Expected provider coverage depends on metadata and effective grants	pollTools.js:getOperatorsScopeForStats;pr2-body.md	No authenticated API sample; shared scope rules remain proposal 3
2026-09-06T17:08:01.463597+00:00	integration	Merge the three branches in a detached checkout	Detect content conflicts without changing production or the user checkout	/home/exedev/dashboard-repairs-integration;integration-tests.log	Clean merges; initial combined run 56 passed with the same two inherited suite-loading failures
2026-09-06T17:11:36.974017+00:00	pr2	Name the threshold as a sum of per-provider maxima in the UI	The maxima need not have occurred simultaneously	1c74f0c4;pr2-ui-final.log	UI component checks pass; no claim of continuous availability
2026-09-06T17:11:36.974042+00:00	validation	Validate the final combined tree and retain inherited test failures	Check interactions among the approved PRs without deploying	20bbfd0e;integration-build-final.log;6013d914;integration-tests-final.log;pr2-ui-final.log	Final build passes;58 tests pass;two known suite-loading failures;final wording passes component checks
2026-09-06T17:11:36.974048+00:00	publication	Push the three repair branches and open fork PRs	User approved implementing audit proposals 1,2,7	https://github.com/vdveen/dashboarddeelmobiliteit-anne/pull/11;https://github.com/vdveen/dashboarddeelmobiliteit-anne/pull/13;https://github.com/vdveen/dashboarddeelmobiliteit-anne/pull/12	All open against fork main;none merged;original railway-voi-cron checkout unchanged
2026-09-06T17:11:36.974053+00:00	evidence	Review artifacts and record the unavailable transcript	No active transcript path was supplied	decisions.tsv;review.md	Artifact review only;no transcript-to-trail comparison claimed
2026-09-06T17:12:32.692120+00:00	handoff	Publish durable evidence and retain independent-review cautions	The final reviewer found the document links preceded evidence copying	docs/FORK-REPAIRS-2026-09-06.md;docs/audits/2026-09-06/repairs/review.md	Evidence copied;local document links resolve;API/browser/transcript limits retained
