commit	scope	subject	assessment	evidence_and_quality	proposed_prs
4cda781fe985c1841c7ddc0588bea792e7930851	published fork	fix(docker): make Dockerfile produce a working, self-hostable image	Retain	Working build command, build args, server root, and SPA fallback fix real deployment errors. Generic deployment guide now needs fork-specific routing.	10
f5b63ec4ad663db67bb434594d3501df923ddb18	published fork	Merge pull request #1 from vdveen/claude/dashboard-deelmobiliteit-setup-uzkn8e	Merge	PR 1 wrapper; assessed with 4cda781f.	10
2f5b961f28cd6414a425e2c7a2aaca97933c4c07	published fork	Add public map vehicle selection tool	Fix	Readable local component, but lasso effect restores drag-pan mid-gesture; lifecycle and supported-layer boundaries are incomplete. F04.	1,4
699e1cc275666b33fde28cac9fafa1d5d4cc55cc	published fork	Merge pull request #2 from vdveen/codex/add-selection-tool-for-vehicle-count	Merge	PR 2 wrapper; assessed with 2f5b961f.	4
717f8957a26be755cb512671db7f59ea6938a7bf	published fork	Add Provincie Noord-Holland edition branding and public view defaults	Fix	Branding and simplified marker cache keys are coherent. Async public defaults overwrite explicit selections. F05.	5
2ebb0ed790b5c1b9349a6b5755e6aa19f6eafe5a	published fork	Merge pull request #3 from vdveen/claude/noord-holland-dashboard-changes-bcpx2n	Merge	PR 3 wrapper; assessed with 717f8957.	5
ed7535a51717548587537c30288a1ff0ca5008d9	published fork	fix(rentals): Don't hide HB layer from non-operator accounts scoped to 1 operator	Retain	Known organisation type correctly overrides one-operator heuristic; focused tests cover useful role boundaries. Keep UI roles separate from data scope.	3
54b5ea5a0e1976a8de0f6d8dd098f9446f97a5b5	published fork	Merge branch 'Stichting-CROW:main' into main	Merge	Upstream merge; reviewed history and retained auth behavior, with follow-up resolution in 4b9e1c2f.	3
4b9e1c2ff746ba41580004d459f5131ea30a4c1f	published fork	Merge fix: don't hide HB layer from non-operator accounts scoped to 1 operator	Merge	Conflict resolution preserves explicit organisation-type checks while accepting upstream changes. Broader role heuristics still need consistency.	3
b217480aed9862c5038e2c062159aed4cca36550	published fork	fix(hb): Don't crash HB layer when od-api accessible-hexes request fails	Retain	Small guard stops accessible-hex failure from crashing the layer; user-visible failure remains a future error-state concern.	3
9b011537bdcc0b9687102c921fd2e6624e46252d	published fork	docs: Add bug report for accounts with single-operator data access	Historical note	Useful dated account report. Backend 500s and presumed causes were not revalidated; add current status instead of treating them as new findings.	10
2879a315fc3f571786c20712b6c40c018cc4f4ab	published fork	perf: eliminate duplicate vehicle fetches and speed up map data load	Fix	Useful request deduplication and hot-loop cleanup, later mirrored upstream. URL-only reuse and global caches lack account identity. F03. Original rental auth function/value mistake corrected by August merge.	3
d2c732d8d9cad6b9e2315c03dfece0707b432d67	published fork	feat(verhuringen): Add 'Ruwe data import' CSV import to rentals view	Fix	CSV feature has a separated parser but weak validation and a second renderer. Original missing md5 and ASI defects were fixed later. Current F03,F06,F07 remain.	3,6,7
055077fd6933d8872c1a44e0036efc5142da7358	published fork	Merge remote-tracking branch 'origin/claude/verhuringen-csv-import-ubg49o' into claude/merge-fork-commits-a64jz5	Merge	Integration wrapper for CSV work; assessed combined import and polling behavior.	3,6
295c6760b7208ac5d4264c54f85f56fcc1d54707	published fork	Merge pull request #4 from vdveen/claude/merge-fork-commits-a64jz5	Merge	Retains import plus polling optimizations. Review of resolution confirms later one-line fixes were needed; do not report those as still open.	3,6
84e8b40d2a532d2f6aeeeb8fb73a400bab399c0b	published fork	Fix undefined md5 reference in pollVerhuringenData	Fixed regression	Adds the missing md5 import required by the CSV renderer. Current renderer executes; no repeat fix proposed.	6
576dfc95801d81fe98498186ea789f9f00165b6b	published fork	Merge pull request #5 from vdveen/claude/fix-md5-undefined-poll-api-iib1lv	Merge	PR 5 wrapper for missing md5 fix.	6
9df8d596e18d95fda707352e6cb4dd876d3b9cf9	published fork	Fix ASI bug breaking CSV rentals import on the map	Fixed regression	Terminates forEach call before array literal and removes the ASI runtime failure. Current parser/rendering semantics assessed separately.	6
d237874d6c01be014ce28b7c6cf27cb64bfc66f9	published fork	Merge pull request #6 from vdveen/claude/fix-md5-undefined-poll-api-iib1lv	Merge	PR 6 wrapper for ASI fix.	6
b9f56717216e95aee5832ad4d3da1a3433c1b90e	published fork	Add GeoJSON download button for service areas	Fix	Small GeoJSON merger retains geometry properties and adds provenance; current-only export is ambiguous beside history selection. F11.	6
2b8358c912c1cf4b6cf84bc9583c72859e165b6f	published fork	Merge pull request #7 from vdveen/claude/voi-parking-geojson-export-2t6st5	Merge	PR 7 wrapper for GeoJSON export.	6
ce2181d9823701f81b8af26d9fc86af68004813f	published fork	docs: Add performance report for slow vehicle/dashboard API queries	Historical note	Detailed performance evidence is dated and backend-dependent. Preserve as investigation history; do not present old latency figures as current validation.	10
6abaabfa807dfb24e74aa647b4e9e9d6a0c77e15	published fork	Merge pull request #9 from vdveen/claude/api-query-performance-d4myb4	Merge	PR 9 wrapper for performance note.	10
f934eebe84ddbbdcc8abe1eba42d53e55d7923e5	published fork	Show vehicle count and percentage per parkeerduur bin	Retain with cleanup	Counts intentionally ignore duration exclusion; focused UI tests useful. Denominator comment and exact-100-percent claim are misleading. F14.	3
cc5c1c58ff762f16ade1cc34abe9da41268e1ecb	published fork	Add Ritlengtes histogram to Beleidsinfo stats page	Fix	Histogram uses existing chart conventions but lacks error handling and a request budget. Exact bin boundaries need a compact regression. F10.	9
6f1b1b7bd41f0174433b43d99759a88d715c760b	published fork	Merge upstream/main into fork (12 commits)	Merge	Reviewed conflict resolutions: retains duration stats and persisted-state migration; accepts corrected rental login check. Lockfile broke npm ci and was fixed in eddf7df4.	11,3
eddf7df4d5cbac7f113c6caf7bef12c6d265b8d5	published fork	Fix broken npm ci after upstream merge: regenerate lockfile, build on node 24	Fixed regression	Regenerates lockfile and uses Node 24 build image. No evidence of current manifest/lock mismatch; compiler/declaration alignment still fails. F13.	11
d9e1ea759d69b3000b6bd996d97efd6cb1c0efb0	published fork	feat(beleidszones): include concept-phase zones in zone filter	Retain	Concept phase added consistently to allowed phases, request query, and display label. Small duplication of phase lists can be removed when touched.	2
8ce51fba7e3a87dff7732b309466ffeaf75d1a42	published fork	feat(beleidszones): 5-minute availability KPI for a single zone	Fix	Useful pure KPI calculation separated from UI. Nullable API failures become zero and local timestamps are ambiguous. F01,F02,F03.	2,3
3b8d01808f53ee1d592219e1f5bcfb208f30a9fd	published fork	feat(beleidszones): raise 5-minute KPI window to 90 days with clamping	Retain with boundary fix	UI clamps to 90 days and shows the clamp. Exported fetch helper does not enforce the same cap.	2
926aecef54d5cc46bb6e4e1329531a0e5f443dfa	published fork	fix(beleidszones): scope stats_v2 requests to the account's operator ACL	Retain with contract check	Centralizes operator request scope and fixes reported single-grant requests. Multiple-grant behavior needs backend confirmation; no authorization bypass demonstrated. F03.	3
71c6532d6c35dc46edad480a440dbcbedd36be7e	published fork	feat(beleidszones): respect provider selection in 5-minute KPI, add per-provider stacked chart	Retain with fixes	Client-side operator selection and per-provider counts avoid refetching. Account identity, missing samples, timestamp handling, and CSV consistency remain unresolved.	2,3
3d22897d1be045f63d15b9d6e7461d7f6036b392	published fork	Add hub logo project image	Reverted	Logo asset and page metadata change fully reverted in 22c6e364; no active code finding.	none
22c6e364785d52a0dc9bcf1a1a3bf0460a9edd82	published fork	"Revert ""Add hub logo project image"""	Revert	Restores pre-logo state; no runtime residue from 3d22897d.	none
2ecda15c841bdd438f666ced38a3347222634ee6	published fork	Merge stichting-crow main through 2026-08-19	Merge with useful fixes	Preserves fork selection and stats; clamps guest overlay phases and replaces SearchBar setHTML with setText. Reviewed these substantive merge additions separately. Other popup sinks remain.	1,7
f3d3c27a31ff40e893ad55524cb4742d0d303282	published fork	Merge pull request #10 from vdveen/merge/stichting-crow-2026-08-19	Merge	PR 10 wrapper for 2ecda15c.	1
e58b6e5af70af798d94a38e59143a276fa7ac6a6	published fork	docs: document upstream source findings	Historical note	Useful source findings. SearchBar items already fixed in fork; inherited popup and install issues remain. Update status without erasing source-revision context.	11,7,10
12970a5fc4e23e5a3120056467b5590451904df2	published fork	Improve trip length chart tooltips	Retain	Percentage helper is small and tested; optional tooltip callback preserves callers. JSX type annotation debt continued; percentages are rounded independently.	11,9
b918b7ffc9426a56d8886deb785e7b520139de58	published fork	Add repository agent instructions	Retain	Repository operating instructions clarify authorized fork publication and VM constraints.	none
d5ee886e912c38bdca636259a0c91c803795a428	published fork	Add hourly Voi vehicle position monitor	Retain	Collector validates response and finite coordinates, excludes IDs, retries requests, and atomically writes output. Fail-whole-snapshot policy is explicit; HTTP retry paths lack focused coverage.	10
50d3cc88c86bc1ac52a7c988c832d5b6752b6f4a	published fork	Add Voi snapshot timeline viewer	Fix	Initial release-asset viewer was superseded by public branch access. Current UI retains unbounded promises and mismatched selection/data state. F08,F09.	8
34286ce86bbc456be5cce9955666bb57c27f5664	published fork	Publish Voi snapshots on a browser-readable branch	Retain with scaling work	Public raw-branch access removes browser GitHub authentication requirement; gzip format is compatible with collector. Index validation and duplicated publisher need cleanup.	8,10
a27e074e477e3909634efb654ae0ba4780b81f57	published fork	Use a reliable basemap for the Voi viewer	Retain with configuration cleanup	PDOK raster fallback is straightforward with attribution. Glyph endpoint still embeds a separate public Mapbox token; consolidate configuration, not a secret-rotation finding.	8
f57a7a7d35506689c015c672b5668005abec892f	published fork	Avoid live polling in the Voi history viewer	Partial fix	Skips parking effect when directly visiting history. Does not cancel previously scheduled work or the rental-mode effect when navigating from rentals. Broader request ownership belongs in F03.	3,8
3ab32054bc2ee3df67559172a572118972e97439	published fork	Stop obsolete GitHub Pages deploy	Retain with CI replacement	Correctly removes obsolete deployment workflow. Remaining monitor workflow does not validate application PRs. F13.	11
a27f7c0d13a501e3a5e4e292ffdc49b28630ab42	published fork	Document Railway service access	Retain	Documents existing Railway project and auth steps without credentials.	10
